Tier,Category,Business Name,City/State,Phone,Address,Website,Contact Page,Email,Notes
A,Boarding/Kennel,Paw-A-Day Inn,"Bowling Green, KY",(270) 904-3591,"1415 Campbell Ln, Bowling Green, KY 42104",https://pawadayinnresort.com,https://pawadayinnresort.com,,Boards cats/birds/exotics + daycare + grooming - steady litter use
A,Boarding/Kennel,Masters Boarding Kennels,"Bowling Green, KY",(270) 842-0848,"582 Pleasant Hl Rd, Bowling Green, KY 42103",,,,Cat boarding
A,Boarding/Kennel,Alpha Pet Boarding,"Scottsville, KY",(270) 618-4100,"7904 Veterans Memorial Hwy, Scottsville, KY 42164",,,,Cat boarding
A,Veterinarian,All Cats & Dogs Veterinary Hospital,"Bowling Green, KY",(270) 904-2660,"3250 Nashville Rd, Bowling Green, KY 42101",https://dogandcatveterinarian.com,https://dogandcatveterinarian.com,,Vet + boarding = higher litter use
A,Veterinarian,Bowling Green Veterinary Emergency Clinic,"Bowling Green, KY",(270) 715-5600,"760 Campbell Ln Ste 100, Bowling Green, KY 42104",https://www.bgvec.net,https://www.bgvec.net/contact,,24/7 weekend + overnight ER - overnight cats = high litter use
B,Feed/Farm Store (Reseller),Tractor Supply (BG South),"Bowling Green, KY",(270) 842-0648,"5387 Scottsville Rd, Bowling Green, KY 42104",https://www.tractorsupply.com,https://www.tractorsupply.com/tsc/store_BowlingGreen-KY-42104_135,,Sells litter (reseller - corporate buying)
B,Feed/Farm Store (Reseller),Tractor Supply (BG North),"Bowling Green, KY",(270) 904-1191,"228 Brenner St, Bowling Green, KY 42101",https://www.tractorsupply.com,https://www.tractorsupply.com/tsc/store_BowlingGreen-KY-42101_2587,,Reseller
B,Feed/Farm Store (Reseller),Tractor Supply,"Glasgow, KY",(270) 678-8866,"3300 Veterans Outer Loop, Glasgow, KY 42141",https://www.tractorsupply.com,https://www.tractorsupply.com/tsc/store_Glasgow-KY-42141_248,,Reseller
B,Feed/Farm Store (Reseller),Tractor Supply,"Franklin, KY",(270) 586-4333,"1075 S Main St, Franklin, KY 42134",https://www.tractorsupply.com,https://www.tractorsupply.com/tsc/store_Franklin-KY-42134_1075,,Reseller
B,Feed/Farm Store (Reseller),Tractor Supply,"Scottsville, KY",(270) 239-1030,"1138 Old Gallatin Rd, Scottsville, KY 42164",https://www.tractorsupply.com,https://www.tractorsupply.com/tsc/store_Scottsville-KY-42164_2023,,Reseller
B,Feed/Farm Store (Reseller),Tractor Supply,"Russellville, KY",(270) 726-8988,"1150 W 9th St, Russellville, KY 42276",https://www.tractorsupply.com,https://www.tractorsupply.com/tsc/store_Russellville-KY-42276_1128,,Reseller
B,Pet Store (Reseller),Pet Central,"Bowling Green, KY",(270) 904-1112,"915 Lovers Ln B, Bowling Green, KY",,https://www.facebook.com/petcentralky/,,Local independent reseller - contact via Facebook
B,Pet Store (Reseller),Pet Stop,"Bowling Green, KY",(270) 904-4511,"1465 Woods End Cove Ct, Bowling Green, KY 42104",,,,Local independent reseller
B,Veterinarian,Southcentral Veterinary Services,"Bowling Green, KY",(270) 282-2564,"Bowling Green, KY (near Corvette Museum)",https://southcentralvet.com,https://southcentralvet.com,,
B,Veterinarian,All Creatures Animal Hospital,"Bowling Green, KY",(270) 843-9776,"Bowling Green, KY",https://allcreaturesanimalhosp.com,https://allcreaturesanimalhosp.com/locations/main-office/,,
B,Veterinarian,Greystone Pet Hospital,"Bowling Green, KY",(270) 843-1558,"1650 Campbell Lane, Bowling Green, KY 42104",https://greystonepethospital.com,https://greystonepethospital.com,,
B,Veterinarian,Westgate Veterinary Hospital,"Bowling Green, KY",(270) 782-1644,"2010 Russellville Rd, Bowling Green, KY",https://www.westgatevetky.com,https://www.westgatevetky.com/contact/,,
B,Veterinarian,Snodgrass Veterinary Medical Center,"Bowling Green, KY",(270) 781-5041,"6000 Scottsville Rd, Bowling Green, KY 42104",,,,
B,Veterinarian,O'Brien Veterinary Hospital,"Bowling Green, KY",(270) 781-1378,"8970 Nashville Rd, Bowling Green, KY 42101",,,,
B,Veterinarian,Veterinary Clinic (Dr. Paul Graham),"Bowling Green, KY",(270) 843-6618,"303 W 6th Ave, Bowling Green, KY 42101",,,,Alt phone (270) 777-3729
B,Veterinarian,PAWSH (Premier Animal Wellness & Surgery Hosp.),"Bowling Green / Russellville, KY",(270) 551-1281,"Bowling Green, KY",https://animalhospitalbowlinggreenky.com,https://animalhospitalbowlinggreenky.com,,
B,Veterinarian,Bowling Green Veterinary Clinic,"Bowling Green, KY",,"Bowling Green, KY",https://www.bowlinggreenvetclinic.com,https://www.bowlinggreenvetclinic.com,,No phone found via search - call from site
B,Veterinarian,Animal Clinic of Glasgow,"Glasgow, KY",(270) 651-2154,"719 W Main St, Glasgow, KY 42141",https://glasgowvetclinic.com,https://glasgowvetclinic.com/about-our-clinic/our-team/,vetgroup@glasgow-ky.com,
B,Veterinarian,Veterinary Medical Center,"Glasgow, KY",(270) 651-5444,"629 Grandview Ave, Glasgow, KY 42141",,,,
B,Veterinarian,Crocker Animal Hospital,"Franklin, KY",(270) 586-9000,"1010 S Main St, Franklin, KY 42135",https://crockeranimal.com,https://crockeranimal.com/contact/,,Email on contact page
B,Veterinarian,Crocker Animal Hospital,"Scottsville, KY",(270) 237-3999,"50 Old Hartsville Rd, Scottsville, KY 42164",https://crockeranimal.com,https://crockeranimal.com/contact/,,
B,Veterinarian,Scottsville Animal Hospital,"Scottsville, KY",(270) 237-3688,"1590 Old Gallatin Rd, Scottsville, KY 42164",https://www.sanimalhospital.net,https://www.sanimalhospital.net/contact,,
B,Veterinarian,Nashville Road Animal Hospital,"Russellville, KY",(270) 726-2389,"1219 Nashville St, Russellville, KY 42276",https://www.nashvilleroadanimalhospital.com,https://www.nashvilleroadanimalhospital.com,,
B,Veterinarian,Portland Animal Hospital,"Portland, TN",(615) 325-6453,"1105 S Broadway St, Portland, TN 37148",https://www.portlandanimalvet.com,https://www.portlandanimalvet.com,,~30 mi south of Bowling Green
B,Veterinarian,Robertson County Animal Clinic,"Springfield, TN",(615) 384-5393,"800 5th Ave E, Springfield, TN 37172",https://robertsoncountyanimalclinic.net,https://robertsoncountyanimalclinic.net,,7 vets - larger practice; near 50mi edge
C,Grooming/Daycare,Dirty Dawgz Grooming & Daycare,"Bowling Green, KY",(270) 938-0023,"1025 Par Makers Rd, Bowling Green, KY 42103",,https://www.facebook.com/DirtyDawgzGroomingBG/,,Accepts cats - low/occasional litter use
C,Grooming/Daycare,Gentle Pet Care Dog Grooming,"Bowling Green, KY",(270) 782-7300,"1347 KY Hwy 185, Bowling Green, KY 42101",,https://www.facebook.com/61578718081425/,,Contact via Facebook
C,Grooming/Daycare,Paws Around Town Mobile Grooming,"Bowling Green, KY",(270) 421-4755 (text),"Mobile - Bowling Green, KY",,https://www.facebook.com/pawsaroundtownbg/,,Mobile; text to schedule
C,Government,Warren County Animal Control (Sheriff's Office),"Bowling Green, KY",(270) 783-9404,Warren County KY,https://warrencountykysheriff.com/animal-control/,https://warrencountykysheriff.com/animal-control/,,Government animal control - some holding/litter use
C,Institution,WKU Dept. of Agriculture & Food Science,"Bowling Green, KY",(270) 745-3151,"1906 College Heights Blvd #41066, Bowling Green, KY 42101",https://www.wku.edu/agriculture/,https://www.wku.edu/agriculture/contactus.php,becky.gilfillen@wku.edu,Animal Science/Pre-Vet + 800-acre farm. Mostly livestock bedding - marginal cat litter
C,Cattery/Breeder,Aristocatic Maine Coons,"Winchester, KY (serves BG)",,"Winchester, KY",https://aristocaticmainecoons.pet,https://aristocaticmainecoons.pet/meet-your-breeder,,OUT OF 50mi RADIUS (~150 mi) - delivers to BG only. No local cattery confirmed in radius
C,Wildlife Rehab,(No local permitted rehabber in radius),"Bowling Green region, KY",,,https://fw.ky.gov/Wildlife/Pages/Wildlife-Rehabilitation.aspx,https://app.fw.ky.gov/rehabilitatorNew/,,Nearest org ~100 mi (Farmington KY). Use KDFWR rehabber directory. Different substrate - low value
C,Cat Cafe,(None within 50 mi),"Bowling Green, KY",,,,,,Nearest in Nashville TN (Mewsic Kitty Cafe; The Catio) ~60+ mi - outside radius
